iter	RMSE
0	6.100296904
1	6.003881807
2	5.909271726
3	5.823490987
4	5.74026354
5	5.65727493
6	5.579051986
7	5.503272348
8	5.428832742
9	5.35737858
10	5.291146454
11	5.227532685
12	5.164657176
13	5.104006098
14	5.047611672
15	4.991641487
16	4.938671369
17	4.886499566
18	4.837546098
19	4.793113983
20	4.747522695
21	4.704201675
22	4.663439341
23	4.624034117
24	4.586869623
25	4.550388358
26	4.51542284
27	4.482255698
28	4.450220233
29	4.419707901
30	4.390263204
31	4.362051043
32	4.335050541
33	4.30941186
34	4.283879626
35	4.261170836
36	4.237648756
37	4.21558453
38	4.194791782
39	4.174984385
40	4.155647323
41	4.137682897
42	4.118942802
43	4.101960629
44	4.085588207
45	4.070071798
46	4.054985582
47	4.040626439
48	4.026512053
49	4.012465671
50	3.998980811
51	3.986987579
52	3.974775275
53	3.962254898
54	3.951879209
55	3.941441453
56	3.930939138
57	3.921141222
58	3.911202335
59	3.901730263
60	3.892685961
61	3.883333614
62	3.875747282
63	3.867800202
64	3.85956737
65	3.85275391
66	3.84604093
67	3.838813642
68	3.832451921
69	3.826490105
70	3.820589138
71	3.81478371
72	3.808370446
73	3.802387478
74	3.797022209
75	3.791913066
76	3.786578426
77	3.781731137
78	3.777110927
79	3.772848365
80	3.768279614
81	3.76364876
82	3.759584867
83	3.755747701
84	3.751867228
85	3.748224907
86	3.744623814
87	3.740594927
88	3.737232805
89	3.7341293
90	3.730727382
91	3.728015144
92	3.724750903
93	3.721827947
94	3.719150541
95	3.716275968
96	3.713853437
97	3.710918297
98	3.70821673
99	3.706076212
100	3.703529205
101	3.701013577
102	3.698673858
103	3.69614349
104	3.693482316
105	3.691178892
106	3.689102877
107	3.687217446
108	3.685260141
109	3.683456091
110	3.681570866
111	3.679742938
112	3.678422868
113	3.676744486
114	3.675041821
115	3.673254344
116	3.671491634
117	3.669992717
118	3.668598797
119	3.66697131
120	3.665681957
121	3.663838125
122	3.662570855
123	3.66151429
124	3.659828893
125	3.658796078
126	3.657599847
127	3.656334686
128	3.6549788
129	3.653930847
130	3.652501839
131	3.651700937
132	3.650476498
133	3.649369239
134	3.648193434
135	3.646781937
136	3.645414049
137	3.644053174
