iter	Passed	Remaining
0	117	940247
1	213	852092
2	311	831255
3	424	848278
4	518	829794
5	617	822426
6	727	830772
7	830	829435
8	918	815532
9	1015	811614
10	1107	804007
11	1188	790963
12	1275	783820
13	1362	777105
14	1446	769894
15	1530	763579
16	1618	760256
17	1708	757432
18	1801	756592
19	1889	753904
20	1973	749975
21	2068	749985
22	2153	747040
23	2241	744864
24	2322	740841
25	2412	739748
26	2497	737648
27	2580	734794
28	2666	733014
29	2755	732088
30	2840	730123
31	2926	728633
32	3025	730503
33	3106	727941
34	3202	728841
35	3294	728804
36	3379	727284
37	3462	725476
38	3554	725653
39	3644	725158
40	3733	724705
41	3821	724082
42	3905	722710
43	3994	722283
44	4087	722587
45	4173	721685
46	4262	721210
47	4348	720355
48	4429	718738
49	4511	717276
50	4595	716325
51	4680	715415
52	4767	714913
53	4862	715439
54	4947	714683
55	5050	716453
56	5136	715713
57	5219	714745
58	5300	713424
59	5390	713370
60	5477	712870
61	5564	712403
62	5652	712082
63	5731	710709
64	5821	710610
65	5908	710240
66	6000	710476
67	6086	709923
68	6169	709143
69	6253	708486
70	6341	708192
71	6422	707174
72	6506	706545
73	6595	706438
74	6684	706306
75	6770	705870
76	6857	705558
77	6943	705167
78	7039	705836
79	7123	705258
80	7213	705193
81	7300	704980
82	7381	704050
83	7467	703735
84	7556	703603
85	7638	702947
86	7731	703215
87	7818	702927
88	7905	702667
89	7995	702709
90	8090	703150
91	8175	702716
92	8263	702578
93	8348	702121
94	8433	701791
95	8519	701399
96	8600	700742
97	8687	700532
98	8777	700511
99	8858	699832
100	8946	699679
101	9044	700322
102	9132	700201
103	9218	699932
104	9301	699347
105	9382	698702
106	9468	698437
107	9606	701981
108	9707	702749
109	9794	702542
110	9878	702080
111	9960	701517
112	10056	701886
113	10139	701384
114	10224	701058
115	10309	700709
116	10398	700602
117	10485	700408
118	10566	699790
119	10653	699588
120	10741	699416
121	10826	699079
122	10916	699074
123	11007	699177
124	11087	698498
125	11168	697927
126	11255	697756
127	11337	697270
128	11422	696968
129	11504	696458
130	11590	696223
131	11673	695802
132	11770	696246
133	11863	696413
134	11952	696330
135	12053	696998
136	12140	696788
137	12227	696592
138	12318	696654
139	12401	696252
140	12485	695901
141	12570	695623
142	12652	695174
143	12738	694969
144	12824	694726
145	12911	694542
146	13002	694614
147	13091	694574
148	13179	694447
149	13260	693960
150	13338	693311
151	13421	692953
152	13500	692389
153	13586	692187
154	13664	691582
155	13763	692073
156	13867	692752
157	13951	692472
158	14042	692513
159	14123	692057
160	14210	691898
161	14288	691300
162	14372	691011
163	14457	690781
164	14537	690306
165	14619	689931
166	14703	689643
167	14792	689634
168	14876	689322
169	14959	689039
170	15053	689208
171	15137	688923
172	15227	688953
173	15307	688464
174	15388	688071
175	15469	687693
176	15558	687664
177	15644	687499
178	15732	687381
179	15815	687087
180	15902	686987
181	15993	687013
182	16079	686860
183	16169	686839
184	16250	686467
185	16334	686208
186	16416	685878
187	16493	685342
188	16583	685350
189	16662	684929
190	16750	684841
191	16839	684790
192	16927	684723
193	17016	684682
194	17100	684473
195	17184	684231
196	17260	683684
197	17349	683659
198	17428	683198
199	17509	682877
200	17596	682770
201	17676	682375
202	17765	682343
203	17849	682146
204	17940	682174
205	18038	682488
206	18125	682378
207	18209	682161
208	18286	681691
209	18362	681167
210	18441	680769
211	18527	680630
212	18605	680179
213	18686	679882
214	18772	679748
215	18870	680051
216	18972	680478
217	19077	680999
218	19177	681361
219	19272	681541
220	19369	681799
221	19470	682177
222	19576	682708
223	19669	682820
224	19767	683088
225	19848	682756
226	19943	682907
227	20058	683741
228	20152	683874
229	20248	684058
230	20336	683972
231	20421	683779
232	20513	683798
233	20597	683582
234	20684	683485
235	21002	690954
236	21215	694908
237	21340	696002
238	21453	696669
239	21571	697467
240	21681	698041
241	21819	699488
242	21945	700533
243	22082	701928
244	22203	702809
245	22336	704043
246	22443	704486
247	22548	704812
248	22646	704967
249	22762	705638
250	22862	705834
251	22961	705987
252	23081	706755
253	23184	707045
254	23286	707266
255	23391	707588
256	23497	707942
257	23610	708506
258	23715	708814
259	23807	708722
260	23892	708431
261	24000	708836
262	24111	709304
263	24213	709538
264	24318	709825
